Year Read,Title,Author,Release,Pages,Avg Rating,My Rating,FTR,School?,Series Name,Series Number,Genre 1,Genre 2,Genre 3
2014,The Catcher in the Rye,J.D. Salinger,1951,277,3.8,3,3,1,,,Fiction,Literature,Philosophy
2014,To Kill a Mockingbird,Harper Lee,1960,323,4.26,4,4,1,TKAM,1,Fiction,Literature,Political
2014,The Outsiders,S.E. Hinton,1967,208,4.15,4,4.5,1,,,Fiction,Literature,Philosophy
2013,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,216,4.22,5,5,0,Hitchhiker's Guide,1,SciFi,Space,Humor
2013,The Restaurant at the End of the Universe,Douglas Adams,1980,250,4.19,4,4,0,Hitchhiker's Guide,2,SciFi,Space,Humor
2012,The Giver,Lois Lowry,1993,208,4.12,4,4,1,Giver,1,SciFi,Political,Dystopian
2016,Fahrenheit 451,Ray Bradbury,1953,249,3.97,4,4,1,,,SciFi,Robot,Dystopian
2017,1984,George Orwell,1948,368,4.2,4,3.5,1,,,Classic,SciFi,Dystopian
2017,Macbeth,William Shakespeare,1623,249,3.89,4,4,1,,,Play,Tragedy,Murder
2015,Romeo and Juliet,William Shakespeare,1590,281,3.74,3,3,1,,,Play,Tragedy,Romance
2020,How to Win Friends and Influence People,Dale Carnegie,1936,288,4.21,5,4.5,0,,,Nonfiction,Economics,Bio
2011,"Roll of Thunder, Hear My Cry",Mildred D. Taylor,1976,288,3.9,1,1,1,,,Fiction,African American,History
2015,Freakonomics,Steven D. Levitt ,2005,268,4.01,5,5,0,Freakonomics,1,Nonfiction,Economics,Humor
2015,SuperFreakonomics,Steven D. Levitt ,2009,270,4,4,4,0,Freakonomics,2,Nonfiction,Economics,Humor
2016,Julius Caesar,William Shakespeare,1599,175,3.71,3,3,1,,,Play,Tragedy,Murder
2013,The Maze Runner,James Dashner,2009,384,4.06,5,5,0,Maze Runner,1,SciFi,Robot,Dystopian
2013,The Scorch Trials,James Dashner,2010,362,3.9,4,4,0,Maze Runner,2,SciFi,Robot,Dystopian
2013,The Death Cure,James Dashner,2011,325,3.78,3,3,0,Maze Runner,3,SciFi,Robot,Dystopian
2009,The Lightning Thief,Rick Riordan,2005,377,4.31,5,4.5,0,Percy Jackson,1,Fantasy,Greek,Teen
2010,Sea Of Monsters,Rick Riordan,2006,279,4.24,4,4,0,Percy Jackson,2,Fantasy,Greek,Teen
2010,The Last Olympian,Rick Riordan,2009,381,4.55,5,4.5,0,Percy Jackson,5,Fantasy,Greek,Teen
2008,Sorcerer's Stone,J.K. Rowling,1997,223,4.47,5,4.5,0,Harry Potter,1,Fantasy,High-Fantasy,Teen
2009,Chamber of Secrets,J.K. Rowling,1998,352,4.43,4,4,0,Harry Potter,2,Fantasy,High-Fantasy,Teen
2009,Prizoner of Azkaban,J.K. Rowling,1999,547,4.58,4,4,0,Harry Potter,3,Fantasy,High-Fantasy,Teen
2010,Goblet of Fire,J.K. Rowling,2000,734,4.57,4,4,0,Harry Potter,4,Fantasy,High-Fantasy,Teen
2010,Order of the Phoenix,J.K. Rowling,2003,870,4.5,5,5,0,Harry Potter,5,Fantasy,High-Fantasy,Teen
2011,Half-Blood Prince,J.K. Rowling,2005,652,4.58,5,5,0,Harry Potter,6,Fantasy,High-Fantasy,Teen
2011,Deathly Hallows,J.K. Rowling,2007,759,4.62,4,4,0,Harry Potter,7,Fantasy,High-Fantasy,Teen
2008,James and the Giant Peach,Roald Dahl,1961,176,4.04,4,4,1,,,Fantasy,Classic,Teen
